Latitude,Longitude,Elevation
-27.63627,27.235906,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.636271,27.235905,1407.601684570312
-27.63627175,27.235905,1407.6005859375
-27.6362725,27.235905,1407.599487304688
-27.63627325,27.235905,1407.598388671875
